,Entity,Year,Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Total Consumption (TWh),Total Consumption (kWh),% of Renewables
0,World,1985,6279.434,1488.922,2057.643,9825.999,9825999000000.0,36.09368370585017
1,World,1986,6433.934,1594.736,2092.305,10120.975,10120975000000.0,36.42970168387927
2,World,1987,6751.866,1734.733,2125.555,10612.154,10612154000000.0,36.376102344538154
3,World,1988,6991.242,1891.249,2193.343,11075.833999999999,11075833999999.998,36.87841475413951
4,World,1989,7447.904,1945.011,2194.831,11587.746000000001,11587746000000.002,35.72603334591559
5,World,1990,7609.668,2000.462,2279.93,11890.06,11890060000000.0,35.99975105255987
6,World,1991,7717.489,2096.175,2336.021,12149.685000000001,12149685000000.002,36.47992519970682
7,World,1992,7799.584,2112.089,2345.248,12256.920999999998,12256920999999.998,36.36587851059822
8,World,1993,7847.675,2184.826,2482.805,12515.306,12515306000000.0,37.295380552421165
9,World,1994,8109.837,2225.844,2505.03,12840.711000000001,12840711000000.002,36.842772958600186
10,World,1995,8325.329,2322.396,2640.898,13288.623,13288623000000.0,37.34994965242072
11,World,1996,8614.14,2406.801,2680.974,13701.914999999999,13701915000000.0,37.131853467197836
12,World,1997,8896.542,2390.277,2740.197,14027.016,14027016000000.0,36.575662279133354
13,World,1998,9193.574,2431.38,2772.457,14397.411000000002,14397411000000.002,36.1442553803597
14,World,1999,9476.562,2524.361,2805.202,14806.125,14806125000000.0,35.99566395663957
15,World,2000,9598.06,2505.93,2874.4,14978.39,14978390000000.0,35.920616301217954
16,World,2001,9810.06,2572.31,2814.89,15197.259999999998,15197259999999.998,35.44849532086706
17,World,2002,10249.42,2600.35,2882.15,15731.92,15731920000000.0,34.84952885598197
18,World,2003,10805.79,2576.19,2910.59,16292.570000000002,16292570000000.002,33.67657772837557
19,World,2004,11255.24,2681.18,3142.96,17079.38,17079380000000.002,34.10041816506219
20,World,2005,11768.76,2685.38,3291.33,17745.47,17745470000000.0,33.68020120064445
21,World,2006,12295.7,2719.87,3440.17,18455.739999999998,18455739999999.996,33.37736660789544
22,World,2007,13128.37,2665.34,3548.53,19342.24,19342240000000.0,32.12590682361506
23,World,2008,13182.88,2654.51,3799.0,19636.39,19636390000000.0,32.865053097845376
24,World,2009,13036.77,2617.32,3891.98,19546.07,19546070000000.0,33.302346712152364
25,World,2010,14005.49,2686.63,4195.52,20887.64,20887640000000.0,32.94843266161232
26,World,2011,14655.33,2576.2,4408.04,21639.57,21639570000000.0,32.27531785520692
27,World,2012,14961.24,2403.18,4725.22,22089.64,22089640000000.0,32.270331250305574
28,World,2013,15278.14,2419.42,5035.94,22733.499999999996,22733499999999.996,32.79459828007127
29,World,2014,15521.01,2468.28,5308.65,23297.940000000002,23297940000000.004,33.380333196840574
30,World,2015,15541.6,2501.5,5521.27,23564.37,23564370000000.0,34.046189225512926
31,World,2016,15794.53,2533.12,5869.11,24196.760000000002,24196760000000.004,34.724607757402225
32,World,2017,16090.55,2548.19,6238.26,24877.0,24877000000000.0,35.319572295694826
33,World,2018,16573.16,2620.13,6660.83,25854.120000000003,25854120000000.004,35.89741209524826
34,World,2019,16544.52,2723.79,7022.66,26290.97,26290970000000.0,37.0714735896013
35,World,2020,16024.75,2635.81,7446.28,26106.84,26106840000000.0,38.618576587591605
36,World,2021,16992.07,2735.52,7792.93,27520.52,27520520000000.0,38.256726253719044
